
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], X [ m ], Y [ m ]
9.17601013e+00, -4.78741693e+00, 4.99999970e-02, -1.52305979e-03, 1.01643479e+00, 7.34874106e-04, 9.17601013e+00, -4.78741693e+00
9.13089371e+00, -5.00000000e+00, 4.99999970e-02, -2.05789926e-03, 1.00000000e+00, 0.00000000e+00, 9.13089371e+00, -5.00000000e+00
9.32999992e+00, -5.00000000e+00, 4.99999970e-02, -3.49661219e-04, 1.00000000e+00, 0.00000000e+00, 9.32999992e+00, -5.00000000e+00
9.02202034e+00, -4.77487278e+00, 4.99999970e-02, -2.78611551e-03, 1.01856780e+00, 7.20379641e-04, 9.02202034e+00, -4.77487278e+00
8.93186855e+00, -5.00000000e+00, 4.99999970e-02, -3.52207338e-03, 1.00000000e+00, 0.00000000e+00, 8.93186855e+00, -5.00000000e+00
8.81829357e+00, -4.76231861e+00, 4.99999970e-02, -4.34972253e-03, 1.02087581e+00, 7.87890109e-04, 8.81829357e+00, -4.76231861e+00
8.73284340e+00, -5.00000000e+00, 4.99999970e-02, -5.17024240e-03, 1.00000000e+00, 0.00000000e+00, 8.73284340e+00, -5.00000000e+00
8.56968594e+00, -4.75789452e+00, 4.99999970e-02, -6.48917491e-03, 1.02274179e+00, 8.06954748e-04, 8.56968594e+00, -4.75789452e+00
8.53381729e+00, -5.00000000e+00, 4.99999970e-02, -6.92158798e-03, 1.00000000e+00, 0.00000000e+00, 8.53381729e+00, -5.00000000e+00
8.40152645e+00, -4.84284735e+00, 4.99999970e-02, -7.82818813e-03, 1.01336288e+00, 3.40849161e-04, 8.40152645e+00, -4.84284735e+00
8.33479214e+00, -5.00000000e+00, 4.99999970e-02, -8.49000737e-03, 1.00000000e+00, 0.00000000e+00, 8.33479214e+00, -5.00000000e+00
8.22726536e+00, -4.82163143e+00, 4.99999970e-02, -9.10159573e-03, 1.01674187e+00, 5.35280851e-04, 8.22726536e+00, -4.82163143e+00
8.13576698e+00, -5.00000000e+00, 4.99999970e-02, -1.00084106e-02, 1.00000000e+00, 0.00000000e+00, 8.13576698e+00, -5.00000000e+00
8.03466225e+00, -4.80767822e+00, 4.99999970e-02, -1.07348068e-02, 1.01936948e+00, 6.57362805e-04, 8.03466225e+00, -4.80767822e+00
7.93674088e+00, -5.00000000e+00, 4.99999970e-02, -1.15740830e-02, 1.00000000e+00, 0.00000000e+00, 7.93674088e+00, -5.00000000e+00
7.84536934e+00, -4.79969168e+00, 4.99999970e-02, -1.22933341e-02, 1.02110386e+00, 7.40891614e-04, 7.84536934e+00, -4.79969168e+00
7.73771572e+00, -5.00000000e+00, 4.99999970e-02, -1.31705068e-02, 1.00000000e+00, 0.00000000e+00, 7.73771572e+00, -5.00000000e+00
7.65929079e+00, -4.81008911e+00, 4.99999970e-02, -1.38742104e-02, 1.02089310e+00, 7.19937787e-04, 7.65929079e+00, -4.81008911e+00
7.53869009e+00, -5.00000000e+00, 4.99999970e-02, -1.47909001e-02, 1.00000000e+00, 0.00000000e+00, 7.53869009e+00, -5.00000000e+00
7.48615932e+00, -4.83088446e+00, 4.99999970e-02, -1.53281707e-02, 1.01954997e+00, 6.46947417e-04, 7.48615932e+00, -4.83088446e+00
7.33966494e+00, -5.00000000e+00, 4.99999970e-02, -1.62172467e-02, 1.00000000e+00, 0.00000000e+00, 7.33966494e+00, -5.00000000e+00
7.29354191e+00, -4.81915331e+00, 4.99999970e-02, -1.68041755e-02, 1.02160013e+00, 6.55718322e-04, 7.29354191e+00, -4.81915331e+00
7.14063931e+00, -5.00000000e+00, 4.99999970e-02, -1.84646100e-02, 1.00000000e+00, 0.00000000e+00, 7.14063931e+00, -5.00000000e+00
6.92610407e+00, -4.84077835e+00, 4.99999970e-02, -2.01880019e-02, 1.01822281e+00, 5.59609907e-04, 6.92610407e+00, -4.84077835e+00
