"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
10.262,-0.094622,0.005,0.51689,0.0030375,4.4068e-20,-0.0025244
5.3323,-0.21493,0.005,0.28518,0.017118,4.7275e-19,-0.036517
16.725,2.5883,0.005,1.046,-0.007249,1.0485e-20,-0.00067129
15.114,-2.038,0.005,1.0155,0.010096,-2.5826e-20,-0.00077336
2.806,0.10506,0.005,0.022535,-0.010943,1.2816e-18,-0.1273
13.49,1.2203,0.005,0.86803,-0.01495,5.4272e-21,-0.00056812
-5.2768,-0.080066,0.005,0.98274,-0.00077744,-1.0576e-17,0.080527
0.96142,-5.1956,0.005,1.0664,-0.031475,3.7464e-19,-0.015272
1.1346,5.2563,0.005,1.0674,0.029224,-2.1157e-19,-0.016533
-2.7801,0.18836,0.005,0.92485,0.0096089,6.5236e-18,0.1357
12.684,-1.1014,0.005,0.83234,0.016325,3.1561e-20,-0.0012688
17.572,-3.0047,0.005,1.0538,0.0061742,9.7928e-21,-0.00059574
17.562,-1.1232,0.005,0.84415,0.009948,9.0716e-22,0.00033417
-1.1122,-0.21415,0.005,0.68032,-0.097919,-3.7289e-18,0.32704
-1.0798,0.36654,0.005,0.71079,0.16104,1.3968e-18,0.29747
1.1372,-0.23024,0.005,-0.040515,-0.0052793,2.0309e-18,-0.23872
1.1337,0.30649,0.005,0.00404,0.0040483,-1.5641e-18,-0.23912
0.36929,-2.8536,0.005,1.0952,-0.086268,3.4328e-20,-0.043235
2.8858,-1.5116,0.005,1.1062,0.020774,-1.0922e-18,-0.10565
0.068076,-1.649,0.005,1.1277,-0.17719,-1.7671e-18,-0.088802
0.51506,2.8574,0.005,1.1001,0.082262,2.4707e-19,-0.048142
0.16136,1.6656,0.005,1.136,0.16822,-2.6687e-19,-0.096839
7.7808,-0.18171,0.005,0.42627,0.0095577,1.1493e-19,-0.010091
15.527,0.038478,0.005,0.63986,-0.00058233,1.5764e-20,0.00040416
-1.1824,-1.3647,0.005,0.95527,-0.17005,-1.3783e-19,0.091731
-1.1385,1.5219,0.005,0.97444,0.1641,-1.1969e-19,0.074142
3.9369,1.613,0.005,1.0794,-0.033999,-8.4195e-20,-0.070061
5.8639,0.75137,0.005,0.60977,-0.041656,-6.5019e-19,-0.027852
2.535,0.96892,0.005,0.78951,-0.044565,-1.9698e-18,-0.13743
17.156,0.71724,0.005,0.75092,-0.0085698,6.4007e-21,6.4628e-05
2.2146,2.2456,0.005,1.1452,0.02314,-3.3026e-18,-0.094224
-2.9931,-5.7186,0.005,1.0186,-0.026735,3.9947e-19,0.032861
11.861,0.5599,0.005,0.65122,-0.012961,-1.5608e-20,-0.0010641
15.113,1.893,0.005,0.99922,-0.010641,-5.232e-21,-0.00068793
18.367,3.1981,0.005,1.0548,-0.0057002,4.8908e-21,-0.00044448
7.0871,-5.075,0.005,1.0711,0.0088852,-9.9624e-19,-0.019463
9.8853,-3.0667,0.005,1.066,0.014499,6.4496e-20,-0.0089788
12.512,-2.5518,0.005,1.0544,0.011438,-4.7134e-20,-0.0033522
8.8271,-1.6044,0.005,0.9877,0.024975,7.4313e-20,-0.0087046
7.0849,-0.92323,0.005,0.73351,0.036044,8.1365e-20,-0.015783
4.9776,-1.2122,0.005,0.90318,0.047879,-8.8139e-19,-0.045606
-3.0215,5.8172,0.005,1.0184,0.025896,1.0643e-17,0.032831
11.773,-1.7209,0.005,0.98944,0.016109,1.7415e-21,-0.0025649
8.2707,3.2333,0.005,1.0716,-0.016464,3.1281e-19,-0.014998
10.891,2.2457,0.005,1.0487,-0.015261,8.3123e-20,-0.0050325
6.1005,2.4216,0.005,1.0848,-0.023884,5.5224e-19,-0.029263
13.011,2.0462,0.005,1.0251,-0.012456,-2.8563e-20,-0.0021046
9.284,1.5588,0.005,0.9732,-0.023816,1.0677e-19,-0.0069786
7.6878,2.0057,0.005,1.0548,-0.024979,-4.5185e-20,-0.015553
3.5942,3.8274,0.005,1.0969,0.0042881,2.3481e-19,-0.043728
5.9584,3.5259,0.005,1.0838,-0.014315,-1.366e-18,-0.028712
1.4693,-1.596,0.005,1.1809,-0.054095,-1.7309e-18,-0.14468
0.67241,-0.80507,0.005,0.74965,-0.031744,1.5895e-18,-0.25667
