
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
9.17601013e+00, -4.78741693e+00, 4.99999970e-02, -1.59201201e-03, 1.01618338e+00, 7.28194602e-04
9.13089371e+00, -5.00000000e+00, 4.99999970e-02, -2.15593190e-03, 1.00000000e+00, 0.00000000e+00
9.32999992e+00, -5.00000000e+00, 4.99999970e-02, -4.23699792e-04, 1.00000000e+00, 0.00000000e+00
9.02202034e+00, -4.77487278e+00, 4.99999970e-02, -2.87920842e-03, 1.01831758e+00, 7.26809958e-04
8.93186855e+00, -5.00000000e+00, 4.99999970e-02, -3.61264125e-03, 1.00000000e+00, 0.00000000e+00
8.81829357e+00, -4.76231861e+00, 4.99999970e-02, -4.44037700e-03, 1.02062404e+00, 7.93780608e-04
8.73284340e+00, -5.00000000e+00, 4.99999970e-02, -5.25399763e-03, 1.00000000e+00, 0.00000000e+00
8.56968594e+00, -4.75789452e+00, 4.99999970e-02, -6.57270662e-03, 1.02249300e+00, 8.12161423e-04
8.53381729e+00, -5.00000000e+00, 4.99999970e-02, -7.00748526e-03, 1.00000000e+00, 0.00000000e+00
8.40152645e+00, -4.84284735e+00, 4.99999970e-02, -7.91291706e-03, 1.01319432e+00, 3.35510238e-04
8.33479214e+00, -5.00000000e+00, 4.99999970e-02, -8.58271867e-03, 1.00000000e+00, 0.00000000e+00
8.22726536e+00, -4.82163143e+00, 4.99999970e-02, -9.18935239e-03, 1.01655710e+00, 5.36660780e-04
8.13576698e+00, -5.00000000e+00, 4.99999970e-02, -1.00972084e-02, 1.00000000e+00, 0.00000000e+00
8.03466225e+00, -4.80767822e+00, 4.99999970e-02, -1.08201401e-02, 1.01917648e+00, 6.63170649e-04
7.93674088e+00, -5.00000000e+00, 4.99999970e-02, -1.16587952e-02, 1.00000000e+00, 0.00000000e+00
7.84536934e+00, -4.79969168e+00, 4.99999970e-02, -1.23793203e-02, 1.02091181e+00, 7.48240156e-04
7.73771572e+00, -5.00000000e+00, 4.99999970e-02, -1.32546742e-02, 1.00000000e+00, 0.00000000e+00
7.65929079e+00, -4.81008911e+00, 4.99999970e-02, -1.39591778e-02, 1.02071464e+00, 7.27270497e-04
7.53869009e+00, -5.00000000e+00, 4.99999970e-02, -1.48772243e-02, 1.00000000e+00, 0.00000000e+00
7.48615932e+00, -4.83088446e+00, 4.99999970e-02, -1.54131623e-02, 1.01938951e+00, 6.54839212e-04
7.33966494e+00, -5.00000000e+00, 4.99999970e-02, -1.63039230e-02, 1.00000000e+00, 0.00000000e+00
7.29354191e+00, -4.81915331e+00, 4.99999970e-02, -1.68932620e-02, 1.02143502e+00, 6.63419778e-04
7.14063931e+00, -5.00000000e+00, 4.99999970e-02, -1.85442343e-02, 1.00000000e+00, 0.00000000e+00
6.92610407e+00, -4.84077835e+00, 4.99999970e-02, -2.02778354e-02, 1.01811051e+00, 5.55433508e-04
6.94161367e+00, -5.00000000e+00, 4.99999970e-02, -2.04537958e-02, 1.00000000e+00, 0.00000000e+00
6.74258852e+00, -5.00000000e+00, 4.99999970e-02, -2.15147007e-02, 1.00000000e+00, 0.00000000e+00
6.70065498e+00, -4.76574516e+00, 4.99999970e-02, -2.20745932e-02, 1.03322005e+00, 1.25241012e-03
