Points:0,Points:1,U:0,U:1,p
0.35355,0.35355,-0.0066755,0.0071602,-0.3471
0.37754,0.37754,-0.0053753,0.010248,-0.34437
0.40229,0.40229,0.0040341,0.014254,-0.33857
0.42782,0.42782,0.026078,0.014793,-0.33241
0.45417,0.45417,0.058968,0.013338,-0.32627
0.48136,0.48136,0.10126,0.010945,-0.32023
0.50941,0.50941,0.15177,0.0084005,-0.31438
0.53835,0.53835,0.2094,0.0062515,-0.30877
0.56822,0.56822,0.27312,0.0048609,-0.30337
0.59904,0.59904,0.34189,0.0044518,-0.29814
0.63084,0.63084,0.4146,0.0051391,-0.29299
0.66365,0.66365,0.49007,0.0069567,-0.28783
0.6975,0.6975,0.567,0.0098817,-0.28256
0.73243,0.73243,0.64397,0.013794,-0.27707
0.76848,0.76848,0.71994,0.018871,-0.2706
0.80567,0.80567,0.79275,0.024372,-0.26455
0.84405,0.84405,0.87368,0.026989,-0.25692
0.33457,0.37157,-0.004853,0.0049813,-0.35721
0.35726,0.39678,-0.00096618,0.006563,-0.35396
0.38068,0.42279,0.014347,0.0081212,-0.34713
0.40484,0.44963,0.043596,0.0072785,-0.34
0.42978,0.47732,0.084696,0.0053629,-0.33299
0.45551,0.50589,0.13593,0.0032984,-0.32614
0.48205,0.53537,0.19585,0.0017605,-0.31957
0.50944,0.56579,0.26306,0.0011867,-0.31329
0.5377,0.59718,0.33623,0.0018304,-0.30727
0.56687,0.62957,0.41396,0.0038011,-0.30143
0.59696,0.66299,0.49478,0.0070947,-0.2957
0.62801,0.69747,0.57718,0.011621,-0.28999
0.66004,0.73305,0.6596,0.017246,-0.28426
0.6931,0.76976,0.74046,0.02377,-0.27855
0.72721,0.80764,0.81911,0.031911,-0.27255
0.7624,0.84673,0.89043,0.037304,-0.27358
0.79871,0.88706,0.97128,0.042307,-0.2672
0.31466,0.38857,-0.0023347,0.0026438,-0.36799
0.33601,0.41493,0.0047715,0.0026986,-0.3642
0.35803,0.44213,0.027211,0.0018735,-0.35628
0.38076,0.4702,0.064788,-0.00010312,-0.34815
0.40421,0.49916,0.11508,-0.0020934,-0.34024
0.4284,0.52904,0.17605,-0.0033482,-0.33258
0.45337,0.55987,0.2459,-0.0033424,-0.32525
0.47913,0.59168,0.32289,-0.0017896,-0.31825
0.50571,0.6245,0.40528,0.0014078,-0.31153
0.53314,0.65837,0.49125,0.0061952,-0.30498
0.56144,0.69332,0.57893,0.012395,-0.29851
0.59064,0.72938,0.66645,0.019731,-0.29202
0.62077,0.76659,0.75197,0.027869,-0.28546
0.65186,0.80498,0.83372,0.036372,-0.27885
0.68394,0.8446,0.91078,0.045607,-0.27182
0.71704,0.88547,0.97854,0.050986,-0.27034
0.75119,0.92765,1.0505,0.057172,-0.25681
0.29389,0.40451,0.0009736,0.000204,-0.37945
0.31383,0.43195,0.011986,-0.0012211,-0.37509
0.3344,0.46026,0.042851,-0.0042279,-0.36604
0.35563,0.48948,0.089885,-0.0069536,-0.35687
0.37753,0.51963,0.15028,-0.0085112,-0.34805
0.40013,0.55073,0.22161,-0.0083795,-0.33955
0.42345,0.58283,0.30167,-0.0062336,-0.33142
0.44751,0.61594,0.38828,-0.0019894,-0.32363
0.47234,0.65012,0.47922,0.0042433,-0.3161
0.49795,0.68537,0.57222,0.012199,-0.30871
0.52439,0.72175,0.665,0.021488,-0.30133
0.55166,0.75929,0.75536,0.031634,-0.29385
0.5798,0.79803,0.84127,0.042118,-0.28621
0.60884,0.83799,0.9209,0.052344,-0.27839
0.6388,0.87923,0.99322,0.062434,-0.26998
0.66972,0.92179,1.0547,0.068597,-0.26542
0.70162,0.96569,1.1152,0.076148,-0.25061
0.27232,0.41934,0.0051642,-0.002267,-0.39154
0.29079,0.44778,0.020811,-0.0050499,-0.38658
0.30985,0.47713,0.061442,-0.0098888,-0.37635
0.32952,0.50742,0.11902,-0.012843,-0.36613
0.34982,0.53867,0.1903,-0.013351,-0.35638
0.37076,0.57092,0.2724,-0.011185,-0.34701
0.39237,0.60419,0.36264,-0.0062817,-0.33802
0.41466,0.63852,0.4583,0.0011816,-0.32936
0.43766,0.67394,0.55666,0.010833,-0.32089
0.4614,0.7105,0.655,0.022153,-0.31248
0.48589,0.74821,0.7507,0.034519,-0.30399
0.51117,0.78713,0.84137,0.047259,-0.29532
0.53724,0.82728,0.92495,0.059708,-0.2864
0.56415,0.86871,0.99982,0.071205,-0.27722
0.59191,0.91146,1.0651,0.081745,-0.26744
0.62056,0.95557,1.1187,0.088421,-0.26042
0.65011,1.0011,1.1676,0.096186,-0.24548
0.25,0.43301,0.010321,-0.0046807,-0.40417
0.26696,0.46239,0.031356,-0.0086166,-0.39859
0.28446,0.4927,0.083094,-0.014783,-0.38717
0.30252,0.52397,0.15221,-0.017317,-0.37588
0.32115,0.55624,0.23497,-0.01607,-0.36519
0.34037,0.58954,0.32797,-0.011187,-0.35489
0.36021,0.6239,0.42796,-0.0029346,-0.34496
0.38067,0.65935,0.53167,0.0081822,-0.33529
0.40179,0.69593,0.63589,0.021479,-0.32572
0.42358,0.73367,0.7375,0.036153,-0.31609
0.44607,0.77261,0.8337,0.051347,-0.3063
0.46927,0.8128,0.92208,0.066222,-0.29624
0.49321,0.85426,1.0008,0.080028,-0.28589
0.51791,0.89705,1.0687,0.092114,-0.27528
0.5434,0.94119,1.1255,0.10244,-0.26418
0.56969,0.98674,1.17,0.10889,-0.25511
0.59683,1.0337,1.2078,0.11583,-0.24023
0.227,0.4455,0.016512,-0.00693,-0.41719
0.24239,0.47573,0.043692,-0.011725,-0.41099
0.25828,0.50691,0.10783,-0.018555,-0.39837
0.27468,0.53909,0.18933,-0.019906,-0.38601
0.2916,0.57229,0.28392,-0.016142,-0.37435
0.30905,0.60655,0.3876,-0.0078645,-0.36307
0.32706,0.64189,0.49653,0.0042485,-0.35208
0.34565,0.67837,0.60689,0.019305,-0.34124
0.36482,0.716,0.71503,0.036271,-0.33037
0.38461,0.75483,0.81761,0.054052,-0.31933
0.40502,0.7949,0.9118,0.071586,-0.30803
0.42609,0.83624,0.99548,0.087925,-0.29642
0.44782,0.8789,1.0673,0.10231,-0.28455
0.47025,0.92292,1.1267,0.1142,-0.27248
0.49339,0.96834,1.1739,0.1236,-0.26011
0.51727,1.0152,1.2092,0.12908,-0.24936
0.54191,1.0636,1.2366,0.13442,-0.23452
0.20337,0.45677,0.023784,-0.0088896,-0.43042
0.21716,0.48776,0.057845,-0.014157,-0.42361
0.2314,0.51973,0.13559,-0.02083,-0.4098
0.24609,0.55272,0.23011,-0.020143,-0.39637
0.26124,0.58676,0.33657,-0.013077,-0.3837
0.27688,0.62189,0.45037,-0.00078578,-0.37135
0.29302,0.65813,0.56704,0.01557,-0.35916
0.30967,0.69553,0.68229,0.03466,-0.34696
0.32685,0.73411,0.79217,0.055087,-0.33458
0.34457,0.77393,0.89331,0.075494,-0.32192
0.36287,0.81501,0.98316,0.094673,-0.30893
0.38174,0.8574,1.0601,0.11166,-0.29566
0.40121,0.90114,1.1234,0.12578,-0.28221
0.42131,0.94627,1.1734,0.13668,-0.26871
0.44204,0.99283,1.211,0.14451,-0.25517
0.46343,1.0409,1.2373,0.14842,-0.24302
0.48551,1.0905,1.2556,0.1517,-0.22811
0.17918,0.46679,0.032152,-0.010419,-0.44359
0.19134,0.49846,0.073784,-0.015677,-0.43619
0.20388,0.53113,0.16618,-0.021228,-0.42123
0.21682,0.56485,0.27412,-0.017582,-0.40674
0.23018,0.59963,0.39219,-0.0064517,-0.39301
0.24396,0.63553,0.51516,0.01037,-0.37947
0.25817,0.67256,0.63803,0.031174,-0.36591
0.27284,0.71078,0.75615,0.054171,-0.35215
0.28798,0.75021,0.86549,0.077619,-0.33805
0.3036,0.7909,0.96291,0.099962,-0.32358
0.31971,0.83288,1.0464,0.11994,-0.30877
0.33634,0.8762,1.115,0.13669,-0.29377
0.3535,0.9209,1.1689,0.14973,-0.27874
0.3712,0.96702,1.2092,0.15895,-0.26388
0.38947,1.0146,1.2376,0.16471,-0.24924
0.40832,1.0637,1.2557,0.16665,-0.23596
0.42777,1.1144,1.2664,0.16763,-0.22085
0.15451,0.47553,0.041598,-0.011367,-0.45642
0.16499,0.50779,0.091412,-0.016044,-0.44846
0.17581,0.54107,0.19931,-0.019375,-0.43241
0.18696,0.57542,0.32077,-0.011823,-0.41685
