
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
9.17601013e+00, -4.78741693e+00, 4.99999970e-02, -1.28464703e-03, 1.09928560e+00, 1.48037903e-03
9.13089371e+00, -5.00000000e+00, 4.99999970e-02, -1.74325705e-03, 1.09979820e+00, -1.08420217e-19
9.32999992e+00, -5.00000000e+00, 4.99999970e-02, -5.37416607e-04, 1.09922504e+00, -1.08420217e-19
9.02202034e+00, -4.77487278e+00, 4.99999970e-02, -2.48598051e-03, 1.10061562e+00, 1.54566392e-03
8.93186855e+00, -5.00000000e+00, 4.99999970e-02, -3.23904795e-03, 1.10103250e+00, -5.42101086e-20
8.81829357e+00, -4.76231861e+00, 4.99999970e-02, -4.08703554e-03, 1.10209787e+00, 1.62712997e-03
8.73284340e+00, -5.00000000e+00, 4.99999970e-02, -4.91962396e-03, 1.10244918e+00, -5.42101086e-20
8.56968594e+00, -4.75789452e+00, 4.99999970e-02, -6.26472104e-03, 1.10384345e+00, 1.68728142e-03
8.53381729e+00, -5.00000000e+00, 4.99999970e-02, -6.53452519e-03, 1.10387874e+00, -8.13151629e-20
8.40152645e+00, -4.84284735e+00, 4.99999970e-02, -7.50657870e-03, 1.10484147e+00, 1.09088956e-03
8.33479214e+00, -5.00000000e+00, 4.99999970e-02, -8.01808573e-03, 1.10523939e+00, -8.13151629e-20
8.22726536e+00, -4.82163143e+00, 4.99999970e-02, -8.75731278e-03, 1.10610449e+00, 1.26951979e-03
8.13576698e+00, -5.00000000e+00, 4.99999970e-02, -9.59711522e-03, 1.10663795e+00, -8.13151629e-20
8.03466225e+00, -4.80767822e+00, 4.99999970e-02, -1.03885457e-02, 1.10754597e+00, 1.39423867e-03
7.93674088e+00, -5.00000000e+00, 4.99999970e-02, -1.12268981e-02, 1.10807693e+00, -2.71050543e-20
7.84536934e+00, -4.79969168e+00, 4.99999970e-02, -1.19991899e-02, 1.10898256e+00, 1.46577449e-03
7.73771572e+00, -5.00000000e+00, 4.99999970e-02, -1.28907245e-02, 1.10954332e+00, -5.42101086e-20
7.65929079e+00, -4.81008911e+00, 4.99999970e-02, -1.36317667e-02, 1.11036515e+00, 1.42770784e-03
7.53869009e+00, -5.00000000e+00, 4.99999970e-02, -1.45396870e-02, 1.11101460e+00, -8.13151629e-20
7.48615932e+00, -4.83088446e+00, 4.99999970e-02, -1.51240006e-02, 1.11171234e+00, 1.31720828e-03
7.33966494e+00, -5.00000000e+00, 4.99999970e-02, -1.61579289e-02, 1.11247385e+00, -8.13151629e-20
7.29354191e+00, -4.81915331e+00, 4.99999970e-02, -1.66243836e-02, 1.11311531e+00, 1.37060287e-03
7.14063931e+00, -5.00000000e+00, 4.99999970e-02, -1.81523301e-02, 1.11414051e+00, -8.13151629e-20
6.92610407e+00, -4.84077835e+00, 4.99999970e-02, -1.98935699e-02, 1.11589491e+00, 1.12935889e-03
6.94161367e+00, -5.00000000e+00, 4.99999970e-02, -1.99219473e-02, 1.11559701e+00, -2.71050543e-20
6.74258852e+00, -5.00000000e+00, 4.99999970e-02, -2.14544088e-02, 1.11699164e+00, 0.00000000e+00
