[Name]
Series 1 at Cylinder Surface

[Data]
theta [ degree ],Skin Friction [ Pa ]
5.69192171e+00, 6.35918617e-01
8.54876804e+00, 8.95402491e-01
1.14075861e+01, 1.14163840e+00
1.42643433e+01, 1.36030126e+00
1.71198826e+01, 1.54450834e+00
1.99754219e+01, 1.68969715e+00
2.28350086e+01, 1.79349792e+00
2.56910820e+01, 1.85465264e+00
2.85471973e+01, 1.87465847e+00
3.14079838e+01, 1.85419440e+00
3.42641296e+01, 1.78576612e+00
3.71196747e+01, 1.66733992e+00
3.99752159e+01, 1.51305926e+00
4.28340721e+01, 1.31324828e+00
4.56940498e+01, 1.06227207e+00
4.85542412e+01, 7.85786211e-01
5.14120483e+01, 4.92555499e-01
5.42675934e+01, 4.12237018e-01
5.71246185e+01, 7.82294512e-01
5.99830475e+01, 1.34637856e+00
6.28430252e+01, 2.03052402e+00
6.56986923e+01, 2.81646252e+00
6.85562744e+01, 3.69468093e+00
7.14149246e+01, 4.67204046e+00
7.42747269e+01, 5.75416374e+00
7.71302643e+01, 6.91573381e+00
7.99858093e+01, 8.17232323e+00
8.28415985e+01, 9.46644974e+00
8.56979141e+01, 1.08133125e+01
8.85541306e+01, 1.22684240e+01
9.14110718e+01, 1.37346640e+01
9.42672729e+01, 1.51856585e+01
9.71239929e+01, 1.66236820e+01
9.99796677e+01, 1.80337753e+01
1.02835205e+02, 1.93993912e+01
1.05690758e+02, 2.06924858e+01
1.08546326e+02, 2.18935223e+01
1.11404251e+02, 2.29852390e+01
1.14260056e+02, 2.39479256e+01
1.17119232e+02, 2.47662163e+01
1.19977890e+02, 2.54288120e+01
1.22833427e+02, 2.59177227e+01
1.25691956e+02, 2.62229443e+01
1.28551956e+02, 2.63408279e+01
1.31412766e+02, 2.62657394e+01
1.34274612e+02, 2.59964676e+01
1.37134277e+02, 2.55302372e+01
1.39995758e+02, 2.48680725e+01
1.42856552e+02, 2.40178127e+01
1.45715256e+02, 2.29837990e+01
1.48571304e+02, 2.17694931e+01
1.51426834e+02, 2.03831196e+01
1.54285095e+02, 1.88411884e+01
1.57141479e+02, 1.71573544e+01
1.59997025e+02, 1.53413887e+01
1.62852570e+02, 1.34076891e+01
1.65712021e+02, 1.13770742e+01
1.68568390e+02, 9.27517986e+00
1.71423935e+02, 7.12505817e+00
1.74279465e+02, 5.00282621e+00
1.77135010e+02, 3.03712130e+00
1.80000000e+02, 2.01543069e+00
1.77153870e+02, 3.03523684e+00
1.74298340e+02, 4.99987793e+00
1.71442810e+02, 7.12074375e+00
1.68587265e+02, 9.26912785e+00
1.65730927e+02, 1.13690510e+01
1.62871445e+02, 1.33976736e+01
1.60015900e+02, 1.53295374e+01
1.57160355e+02, 1.71439590e+01
1.54303925e+02, 1.88267746e+01
1.51445694e+02, 2.03683128e+01
1.48590149e+02, 2.17548962e+01
1.45734116e+02, 2.29701118e+01
1.42875443e+02, 2.40056496e+01
1.40014694e+02, 2.48578911e+01
1.37153290e+02, 2.55223255e+01
1.34293594e+02, 2.59910583e+01
1.31431793e+02, 2.62629929e+01
1.28571106e+02, 2.63405685e+01
1.25711136e+02, 2.62249203e+01
1.22852646e+02, 2.59216995e+01
1.19997108e+02, 2.54344368e+01
1.17138458e+02, 2.47731018e+01
1.14279190e+02, 2.39557781e+01
1.11423416e+02, 2.29937153e+01
1.08565430e+02, 2.19023056e+01
1.05709854e+02, 2.07013721e+01
1.02854309e+02, 1.94081745e+01
9.99987640e+01, 1.80423145e+01
9.71430969e+01, 1.66317749e+01
9.42863846e+01, 1.51934299e+01
9.14301758e+01, 1.37419138e+01
8.85732346e+01, 1.22752714e+01
8.57170258e+01, 1.08198519e+01
8.28607025e+01, 9.47209263e+00
8.00049133e+01, 8.17732716e+00
7.71493683e+01, 6.92031193e+00
7.42938232e+01, 5.75836468e+00
7.14340668e+01, 4.67575550e+00
6.85754700e+01, 3.69779038e+00
6.57178345e+01, 2.81921673e+00
6.28622284e+01, 2.03294396e+00
6.00022888e+01, 1.34840095e+00
5.71438408e+01, 7.83903539e-01
5.42867851e+01, 4.12747025e-01
5.14312401e+01, 4.91166115e-01
4.85734215e+01, 7.84112334e-01
4.57132263e+01, 1.06039047e+00
4.28532295e+01, 1.31141543e+00
3.99943314e+01, 1.51157749e+00
3.71387863e+01, 1.66641247e+00
3.42832451e+01, 1.78591835e+00
3.14271450e+01, 1.85599494e+00
2.85664005e+01, 1.87862623e+00
2.57102280e+01, 1.86136436e+00
2.28541927e+01, 1.80352294e+00
1.99946175e+01, 1.70346928e+00
1.71390724e+01, 1.56225073e+00
1.42835407e+01, 1.38196051e+00
1.14267712e+01, 1.16688263e+00
8.56799889e+00, 9.23304617e-01
5.71110344e+00, 6.64892733e-01
2.85553908e+00, 4.12392616e-01
0.00000000e+00, 2.67493397e-01
2.83634877e+00, 3.87740701e-01


