[Name]
Series 1 at /POLYLINE:Cylinder Surface

[Data]
theta [ degree ],Pressure [ Pa ]
5.69192171e+00, -2.68453062e-01
8.54876804e+00, -2.70521760e-01
1.14075861e+01, -2.73362786e-01
1.42643433e+01, -2.76918828e-01
1.71198826e+01, -2.81118989e-01
1.99754219e+01, -2.85890460e-01
2.28350086e+01, -2.91169703e-01
2.56910820e+01, -2.96896636e-01
2.85471973e+01, -3.03033888e-01
3.14079838e+01, -3.09588134e-01
3.42641296e+01, -3.16552073e-01
3.71196747e+01, -3.24042737e-01
3.99752159e+01, -3.32096219e-01
4.28340721e+01, -3.40789318e-01
4.56940498e+01, -3.49711001e-01
4.85542412e+01, -3.58987391e-01
5.14120483e+01, -3.69166732e-01
5.42675934e+01, -3.79898787e-01
5.71246185e+01, -3.91166747e-01
5.99830475e+01, -4.03054267e-01
6.28430252e+01, -4.15305734e-01
6.56986923e+01, -4.27690446e-01
6.85562744e+01, -4.40092564e-01
7.14149246e+01, -4.52258348e-01
7.42747269e+01, -4.63871181e-01
7.71302643e+01, -4.74912494e-01
7.99858093e+01, -4.84858245e-01
8.28415985e+01, -4.92417842e-01
8.56979141e+01, -4.97885168e-01
8.85541306e+01, -5.01178503e-01
9.14110718e+01, -5.01280785e-01
9.42672729e+01, -4.97961015e-01
9.71239929e+01, -4.90866870e-01
9.99796677e+01, -4.79670286e-01
1.02835205e+02, -4.64004904e-01
1.05690758e+02, -4.43624973e-01
1.08546326e+02, -4.18375373e-01
1.11404251e+02, -3.88194710e-01
1.14260056e+02, -3.53098750e-01
1.17119232e+02, -3.13212156e-01
1.19977890e+02, -2.68764019e-01
1.22833427e+02, -2.20059901e-01
1.25691956e+02, -1.67502165e-01
1.28551956e+02, -1.11589000e-01
1.31412766e+02, -5.28825298e-02
1.34274612e+02, 7.98783824e-03
1.37134277e+02, 7.03351796e-02
1.39995758e+02, 1.33425727e-01
1.42856552e+02, 1.96500421e-01
1.45715256e+02, 2.58794069e-01
1.48571304e+02, 3.19535464e-01
1.51426834e+02, 3.77967596e-01
1.54285095e+02, 4.33370233e-01
1.57141479e+02, 4.85051781e-01
1.59997025e+02, 5.32328308e-01
1.62852570e+02, 5.74583292e-01
1.65712021e+02, 6.11312330e-01
1.68568390e+02, 6.42009854e-01
1.71423935e+02, 6.66243434e-01
1.74279465e+02, 6.83730125e-01
1.77135010e+02, 6.94531739e-01
1.80000000e+02, 6.98305607e-01
1.77153870e+02, 6.94520235e-01
1.74298340e+02, 6.83711231e-01
1.71442810e+02, 6.66223049e-01
1.68587265e+02, 6.41995192e-01
1.65730927e+02, 6.11312270e-01
1.62871445e+02, 5.74607253e-01
1.60015900e+02, 5.32385230e-01
1.57160355e+02, 4.85148847e-01
1.54303925e+02, 4.33512330e-01
1.51445694e+02, 3.78156841e-01
1.48590149e+02, 3.19770575e-01
1.45734116e+02, 2.59070516e-01
1.42875443e+02, 1.96810901e-01
1.40014694e+02, 1.33760989e-01
1.37153290e+02, 7.06847012e-02
1.34293594e+02, 8.34042113e-03
1.31431793e+02, -5.25375344e-02
1.28571106e+02, -1.11260839e-01
1.25711136e+02, -1.67198718e-01
1.22852646e+02, -2.19787359e-01
1.19997108e+02, -2.68526614e-01
1.17138458e+02, -3.13012093e-01
1.14279190e+02, -3.52936327e-01
1.11423416e+02, -3.88068616e-01
1.08565430e+02, -4.18283045e-01
1.05709854e+02, -4.43563163e-01
1.02854309e+02, -4.63969976e-01
9.99987640e+01, -4.79658425e-01
9.71430969e+01, -4.90874052e-01
9.42863846e+01, -4.97983694e-01
9.14301758e+01, -5.01316905e-01
8.85732346e+01, -5.01223862e-01
8.57170258e+01, -4.97937441e-01
8.28607025e+01, -4.92470086e-01
8.00049133e+01, -4.84913766e-01
7.71493683e+01, -4.74978864e-01
7.42938232e+01, -4.63935733e-01
7.14340668e+01, -4.52317536e-01
6.85754700e+01, -4.40149546e-01
6.57178345e+01, -4.27744269e-01
6.28622284e+01, -4.15357232e-01
6.00022888e+01, -4.03103590e-01
5.71438408e+01, -3.91213477e-01
5.42867851e+01, -3.79944921e-01
5.14312401e+01, -3.69215786e-01
4.85734215e+01, -3.59039664e-01
4.57132263e+01, -3.49772096e-01
4.28532295e+01, -3.40864748e-01
3.99943314e+01, -3.32188487e-01
3.71387863e+01, -3.24156344e-01
3.42832451e+01, -3.16688985e-01
3.14271450e+01, -3.09749603e-01
2.85664005e+01, -3.03219587e-01
2.57102280e+01, -2.97103852e-01
2.28541927e+01, -2.91392863e-01
1.99946175e+01, -2.86121458e-01
1.71390724e+01, -2.81347871e-01
1.42835407e+01, -2.77134091e-01
1.14267712e+01, -2.73553073e-01
8.56799889e+00, -2.70675242e-01
5.71110344e+00, -2.68563628e-01
2.85553908e+00, -2.67234892e-01
0.00000000e+00, -2.66743839e-01
2.83634877e+00, -2.67171681e-01


