[Name]
Series 1 at /POLYLINE:cylinder1

[Data]
theta1 [ degree ],Pressure [ Pa ]
5.68347931e+00, -2.11229205e-01
8.53782654e+00, -2.14053720e-01
1.13922262e+01, -2.17972338e-01
1.42473679e+01, -2.22932756e-01
1.71072922e+01, -2.28856623e-01
1.99644737e+01, -2.35652059e-01
2.28207989e+01, -2.43208259e-01
2.56795158e+01, -2.51591116e-01
2.85390568e+01, -2.60792434e-01
3.13980923e+01, -2.70675033e-01
3.42565193e+01, -2.80421197e-01
3.71108551e+01, -2.90408909e-01
3.99683609e+01, -3.01048696e-01
4.28290367e+01, -3.11763465e-01
4.56911697e+01, -3.22727323e-01
4.85521049e+01, -3.33776295e-01
5.14118767e+01, -3.44710469e-01
5.42691040e+01, -3.55401337e-01
5.71234398e+01, -3.65728319e-01
5.99794960e+01, -3.75559419e-01
6.28402252e+01, -3.84747982e-01
6.56945648e+01, -3.93087924e-01
6.85518341e+01, -4.00390953e-01
7.14093170e+01, -4.06474769e-01
7.42636566e+01, -4.11094040e-01
7.71179962e+01, -4.14226979e-01
7.99740906e+01, -4.15511876e-01
8.28349762e+01, -4.14099365e-01
8.56978302e+01, -4.09738421e-01
8.85550537e+01, -4.02585208e-01
9.14093933e+01, -3.92850578e-01
9.42668610e+01, -3.80217671e-01
9.71296463e+01, -3.64082575e-01
9.99906540e+01, -3.44354033e-01
1.02846336e+02, -3.20994198e-01
1.05700676e+02, -2.93944418e-01
1.08555008e+02, -2.63216436e-01
1.11414017e+02, -2.28871852e-01
1.14271156e+02, -1.91018552e-01
1.17125488e+02, -1.49820179e-01
1.19987000e+02, -1.05516464e-01
1.22842110e+02, -5.83942793e-02
1.25696449e+02, -8.78142472e-03
1.28555344e+02, 4.29310538e-02
1.31415329e+02, 9.63085294e-02
1.34276581e+02, 1.50877535e-01
1.37140015e+02, 2.06117958e-01
1.40000153e+02, 2.61476785e-01
1.42859238e+02, 3.16379279e-01
1.45714371e+02, 3.70236337e-01
1.48569122e+02, 4.22454268e-01
1.51425079e+02, 4.72451657e-01
1.54282928e+02, 5.19661963e-01
1.57137268e+02, 5.63525021e-01
1.59994110e+02, 6.03512883e-01
1.62853363e+02, 6.39161527e-01
1.65715637e+02, 6.70065641e-01
1.68569977e+02, 6.95810854e-01
1.71424301e+02, 7.16073751e-01
1.74278641e+02, 7.30727911e-01
1.77132965e+02, 7.39989042e-01
1.80000000e+02, 7.43339062e-01
1.77158340e+02, 7.40011632e-01
1.74304016e+02, 7.30762243e-01
1.71449677e+02, 7.16110408e-01
1.68595352e+02, 6.95842743e-01
1.65740997e+02, 6.70094430e-01
1.62878815e+02, 6.39200807e-01
1.60019562e+02, 6.03585482e-01
1.57162628e+02, 5.63657165e-01
1.54308289e+02, 5.19873857e-01
1.51450317e+02, 4.72750932e-01
1.48594345e+02, 4.22831714e-01
1.45739563e+02, 3.70665431e-01
1.42884430e+02, 3.16822529e-01
1.40025330e+02, 2.61894047e-01
1.37165146e+02, 2.06474096e-01
1.34301804e+02, 1.51148468e-01
1.31440536e+02, 9.64836776e-02
1.28580673e+02, 4.30114381e-02
1.25721626e+02, -8.78762826e-03
1.22867287e+02, -5.84781431e-02
1.20012268e+02, -1.05671681e-01
1.17150681e+02, -1.50044888e-01
1.14296341e+02, -1.91316321e-01
1.11439217e+02, -2.29249865e-01
1.08580086e+02, -2.63683110e-01
1.05725746e+02, -2.94506669e-01
1.02871414e+02, -3.21654797e-01
1.00015717e+02, -3.45109820e-01
9.71547852e+01, -3.64923000e-01
9.42919693e+01, -3.81126285e-01
9.14344406e+01, -3.93805802e-01
8.85801010e+01, -4.03553009e-01
8.57229233e+01, -4.10665929e-01
8.28600998e+01, -4.14968789e-01
7.99991379e+01, -4.16310370e-01
7.71430283e+01, -4.14903283e-01
7.42886963e+01, -4.11638737e-01
7.14343567e+01, -4.06901568e-01
6.85770340e+01, -4.00705725e-01
6.57197800e+01, -3.93309861e-01
6.28654442e+01, -3.84901941e-01
6.00047264e+01, -3.75667334e-01
5.71485100e+01, -3.65804732e-01
5.42941742e+01, -3.55452955e-01
5.14371033e+01, -3.44735682e-01
4.85773010e+01, -3.33766043e-01
4.57164001e+01, -3.22686970e-01
4.28542786e+01, -3.11685562e-01
3.99936829e+01, -3.00929010e-01
3.71360512e+01, -2.90259719e-01
3.42817154e+01, -2.80274928e-01
3.14233398e+01, -2.70524561e-01
2.85642719e+01, -2.60629922e-01
2.57047005e+01, -2.51468420e-01
2.28459778e+01, -2.43135244e-01
1.99896736e+01, -2.35620975e-01
1.71324654e+01, -2.28865623e-01
1.42725601e+01, -2.22972229e-01
1.14174070e+01, -2.18027875e-01
8.56300068e+00, -2.14111120e-01
5.70866632e+00, -2.11278051e-01
2.85430479e+00, -2.09531486e-01
0.00000000e+00, -2.08911836e-01
2.82916212e+00, -2.09499538e-01


