
[Name]
cyld2

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
3.49937868e+00, 2.49161609e-02, 9.99999940e-02, -1.97454095e-01
3.49937868e+00, 2.49161609e-02, -9.99999940e-02, -1.97454095e-01
3.50000000e+00, 6.12323426e-17, -9.99999940e-02, -1.97156414e-01
3.50000000e+00, 6.12323426e-17, 9.99999940e-02, -1.97156414e-01
3.49751258e+00, 4.98120822e-02, 9.99999940e-02, -1.98396504e-01
3.49751258e+00, 4.98120822e-02, -9.99999940e-02, -1.98396504e-01
3.49440312e+00, 7.46020526e-02, 9.99999940e-02, -1.99980259e-01
3.49440312e+00, 7.46020526e-02, -9.99999940e-02, -1.99980259e-01
3.49007010e+00, 9.91525054e-02, 9.99999940e-02, -2.02186465e-01
3.49007010e+00, 9.91525054e-02, -9.99999940e-02, -2.02186465e-01
3.48451710e+00, 1.23463675e-01, 9.99999940e-02, -2.04950660e-01
3.48451710e+00, 1.23463675e-01, -9.99999940e-02, -2.04950660e-01
3.47776818e+00, 1.47436783e-01, 9.99999940e-02, -2.08191961e-01
3.47776818e+00, 1.47436783e-01, -9.99999940e-02, -2.08191961e-01
3.46982718e+00, 1.71062484e-01, 9.99999940e-02, -2.11788759e-01
3.46982718e+00, 1.71062484e-01, -9.99999940e-02, -2.11788759e-01
3.46071649e+00, 1.94268703e-01, 9.99999940e-02, -2.15800598e-01
3.46071649e+00, 1.94268703e-01, -9.99999940e-02, -2.15800598e-01
3.45045519e+00, 2.17002362e-01, 9.99999940e-02, -2.20208138e-01
3.45045519e+00, 2.17002362e-01, -9.99999940e-02, -2.20208138e-01
3.43909097e+00, 2.39163354e-01, 9.99999940e-02, -2.24790394e-01
3.43909097e+00, 2.39163354e-01, -9.99999940e-02, -2.24790394e-01
3.42662549e+00, 2.60750353e-01, 9.99999940e-02, -2.29504913e-01
3.42662549e+00, 2.60750353e-01, -9.99999940e-02, -2.29504913e-01
3.41308093e+00, 2.81716585e-01, 9.99999940e-02, -2.34268591e-01
3.41308093e+00, 2.81716585e-01, -9.99999940e-02, -2.34268591e-01
3.39849067e+00, 3.02001864e-01, 9.99999940e-02, -2.38984585e-01
3.39849067e+00, 3.02001864e-01, -9.99999940e-02, -2.38984585e-01
3.38295317e+00, 3.21476161e-01, 9.99999940e-02, -2.43556798e-01
3.38295317e+00, 3.21476161e-01, -9.99999940e-02, -2.43556798e-01
3.36647010e+00, 3.40146571e-01, 9.99999940e-02, -2.47888595e-01
3.36647010e+00, 3.40146571e-01, -9.99999940e-02, -2.47888595e-01
3.34907794e+00, 3.57972801e-01, 9.99999940e-02, -2.51892686e-01
3.34907794e+00, 3.57972801e-01, -9.99999940e-02, -2.51892686e-01
3.33081985e+00, 3.74910891e-01, 9.99999940e-02, -2.55475074e-01
3.33081985e+00, 3.74910891e-01, -9.99999940e-02, -2.55475074e-01
3.31174111e+00, 3.90918821e-01, 9.99999940e-02, -2.58538604e-01
3.31174111e+00, 3.90918821e-01, -9.99999940e-02, -2.58538604e-01
3.29185891e+00, 4.05978322e-01, 9.99999940e-02, -2.61007071e-01
3.29185891e+00, 4.05978322e-01, -9.99999940e-02, -2.61007071e-01
3.27121401e+00, 4.20051187e-01, 9.99999940e-02, -2.62839139e-01
3.27121401e+00, 4.20051187e-01, -9.99999940e-02, -2.62839139e-01
3.24991941e+00, 4.33059275e-01, 9.99999940e-02, -2.63939530e-01
3.24991941e+00, 4.33059275e-01, -9.99999940e-02, -2.63939530e-01
3.22804284e+00, 4.44967926e-01, 9.99999940e-02, -2.64081419e-01
3.22804284e+00, 4.44967926e-01, -9.99999940e-02, -2.64081419e-01
3.20559025e+00, 4.55776960e-01, 9.99999940e-02, -2.63148904e-01
3.20559025e+00, 4.55776960e-01, -9.99999940e-02, -2.63148904e-01
3.18261361e+00, 4.65459168e-01, 9.99999940e-02, -2.61214674e-01
3.18261361e+00, 4.65459168e-01, -9.99999940e-02, -2.61214674e-01
3.15918064e+00, 4.73984689e-01, 9.99999940e-02, -2.58263052e-01
3.15918064e+00, 4.73984689e-01, -9.99999940e-02, -2.58263052e-01
3.13537955e+00, 4.81323600e-01, 9.99999940e-02, -2.54201412e-01
3.13537955e+00, 4.81323600e-01, -9.99999940e-02, -2.54201412e-01
3.11123395e+00, 4.87470001e-01, 9.99999940e-02, -2.48981804e-01
3.11123395e+00, 4.87470001e-01, -9.99999940e-02, -2.48981804e-01
3.08679271e+00, 4.92409408e-01, 9.99999940e-02, -2.42588416e-01
3.08679271e+00, 4.92409408e-01, -9.99999940e-02, -2.42588416e-01
3.06210828e+00, 4.96127546e-01, 9.99999940e-02, -2.35056043e-01
3.06210828e+00, 4.96127546e-01, -9.99999940e-02, -2.35056043e-01
3.03725481e+00, 4.98610139e-01, 9.99999940e-02, -2.26377487e-01
